N,hw,q,sigma,machine,primal_sec,primal_time,primal_umem,Main Repo,SparseLWEestimator,Lattice Estimator
16,32,117,3.2, Intel(R) Xeon(R) Platinum 8488C,159.97,1m9.7s,280.8MiB,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
15,192,777,3.2, Intel(R) Xeon(R) Platinum 8488C,127.1,2m20.7s,281.5MiB,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
16,192,61,3.2, Intel(R) Xeon(R) Platinum 8488C,819.9,1m27.8s,347.9MiB,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
15,192,767,3.19, Intel(R) Xeon(R) Platinum 8488C,129.38,2m25.0s,410.5MiB,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
16,192,1555,3.2, Intel(R) Xeon(R) Platinum 8488C,136.8,4m35.2s,282.7MiB,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
16,192,1553,3.19, Intel(R) Xeon(R) Platinum 8488C,136.91,4m30.5s,281.5MiB,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
16,128,300,3.2, Intel(R) Xeon(R) Platinum 8488C,311.17,5m11.7s,280.1MiB,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
15,128,300,3.2, Intel(R) Xeon(R) Platinum 8488C,220.88,6m51.8s,350.9MiB,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
17,128,2341,3.2, Intel(R) Xeon(R) Platinum 8488C,172.56,20m55.4s,286.6MiB,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
17,192,3104,3.19, Intel(R) Xeon(R) Platinum 8488C,169.85,20m21.6s,286.7MiB,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
