N,hw,q,sigma,dual_sec,dual_time,dual_umem,machine,Main Repo,SparseLWEestimator,Lattice Estimator
16,32,117,3.2,297.1865759626064,5.2s,361.4MiB, Intel(R) Xeon(R) Platinum 8488C,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
16,192,1555,3.2,inf,8.0s,371.1MiB, Intel(R) Xeon(R) Platinum 8488C,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
17,128,2341,3.2,inf,9.0s,374.9MiB, Intel(R) Xeon(R) Platinum 8488C,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
15,192,777,3.2,132.10831542524522,17.8s,423.7MiB, Intel(R) Xeon(R) Platinum 8488C,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
16,192,1553,3.19,inf,8.5s,368.2MiB, Intel(R) Xeon(R) Platinum 8488C,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
17,192,3104,3.19,inf,16.8s,374.2MiB, Intel(R) Xeon(R) Platinum 8488C,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
15,192,767,3.19,134.27380922323505,28.0s,409.4MiB, Intel(R) Xeon(R) Platinum 8488C,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
15,128,300,3.2,229.2368239687691,28.8s,537.0MiB, Intel(R) Xeon(R) Platinum 8488C,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
16,128,300,3.2,323.0539889580238,31.0s,454.5MiB, Intel(R) Xeon(R) Platinum 8488C,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
16,192,61,3.2,858.8697383094562,35.0s,455.2MiB, Intel(R) Xeon(R) Platinum 8488C,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
